city,frequency_label,events,active_days,outcomes,buy_u,sell_u,buy_trades,sell_trades,closed_events,open_events,unknown_result_events,activity_closed_pnl,activity_all_pnl,official_closed_pnl,official_cost,official_positions
New York City,高频,5,5,19,919.473392,811.1233480000001,117,18,3,2,0,-46.01444500000003,511.8161654505,56.016985,696.6620244,5
Hong Kong,高频,5,5,6,323.7529200000001,677.860907,34,19,4,1,0,374.3857710000001,410.8774610000001,422.440742,254.79206807999998,3
Seoul,高频,4,4,11,1116.450407,1342.940747,63,45,3,1,0,275.66531399999997,283.73935515299996,186.91508999999996,1094.84334105,5
Shenzhen,高频,4,4,9,736.708875,368.71709000000004,77,14,3,1,0,-320.634147,-312.5517533,-113.383646,483.571817597554,4
Houston,中频,2,2,4,295.61756,153.47382,10,8,1,1,0,-113.07717000000001,-142.095295717,-104.003387,260.26019515999997,2
Chicago,中频,2,2,6,133.92310099999997,172.63691,31,3,1,1,0,86.474279,94.18158399999999,110.033377,46.589842260000005,1
Warsaw,中频,2,2,6,108.017037,36.90942,18,10,2,0,0,-71.107617,-71.107617,-40.955746,76.69291307990001,5
Wellington,中频,2,2,3,66.01034100000001,17.01133,16,2,2,0,0,-48.999011,-48.999011,0.0,0.0,0
Madrid,中频,2,2,3,52.409164999999994,0.0,16,0,2,0,0,-52.409164999999994,-52.409164999999994,0.0,0.0,0
Helsinki,中频,2,2,4,33.614931999999996,6.607600000000001,6,2,2,0,0,-27.007331999999998,-27.007331999999998,-7.87325,12.81275,1
Munich,中频,2,2,3,12.62688,30.08425,1,2,2,0,0,-12.84263,-12.84263,24.513428,5.580992800000001,2
Austin,偶尔,1,1,3,175.93259999999984,381.24261,96,7,0,0,1,0.0,205.31001000000003,0.0,0.0,0
Miami,偶尔,1,1,3,142.705749,161.4885,12,8,1,0,0,18.78275099999999,18.78275099999999,29.008255,135.39320447704603,2
Beijing,偶尔,1,1,5,103.22261,0.0,11,0,1,0,0,-103.22261,-103.22261,0.0,0.0,0
Amsterdam,偶尔,1,1,2,52.336648,39.5802,5,1,1,0,0,-12.756447999999999,-12.756447999999999,27.6,12.0,1
London,偶尔,1,1,1,40.901756,0.0,5,0,1,0,0,-40.901756,-40.901756,0.0,0.0,0
Denver,偶尔,1,1,1,17.13322,0.40702,2,1,1,0,0,-16.726200000000002,-16.726200000000002,-16.215318,16.6437285,1
Tokyo,偶尔,1,1,1,16.324184,4.26706,8,1,1,0,0,-12.057123999999998,-12.057123999999998,0.0,0.0,0
Shanghai,偶尔,1,1,1,14.32662,0.0,1,0,1,0,0,-14.32662,-14.32662,0.0,0.0,0
Paris,偶尔,1,1,2,12.95527,0.0,5,0,1,0,0,-12.955269999999999,-12.955269999999999,0.0,0.0,0
Dallas,偶尔,1,1,1,12.07837,12.22386,1,1,0,0,1,0.0,0.14549000000000056,0.0,0.0,0
Milan,偶尔,1,1,2,6.750341000000001,1.42968,3,1,1,0,0,-5.320661,-5.320661,-0.330189,1.82968411065,1
Busan,偶尔,1,1,1,0.208333,0.05894,1,1,1,0,0,-0.149393,-0.149393,-0.146,0.20833300000000002,1
