event_date,city,event_slug,status,final_result,outcome_count,buy_u,sell_u,buy_trades,sell_trades,activity_estimated_pnl,official_closed_pnl,official_closed_cost,official_position_count,first_activity,last_activity
2026-07-09,Austin,highest-temperature-in-austin-on-july-9-2026,error,结果待补,3,175.93259999999984,381.24261,96,7,205.31001000000003,,,0,2026-07-10 02:47:07,2026-07-10 09:52:37
2026-07-09,Chicago,highest-temperature-in-chicago-on-july-9-2026,closed,86-87°F,3,86.16263099999998,172.63691,24,3,86.474279,110.033377,46.589842260000005,1,2026-07-10 02:22:13,2026-07-10 09:52:56
2026-07-09,Dallas,highest-temperature-in-dallas-on-july-9-2026,error,结果待补,1,12.07837,12.22386,1,1,0.14549000000000056,,,0,2026-07-10 03:06:49,2026-07-10 03:48:53
2026-07-09,Denver,highest-temperature-in-denver-on-july-9-2026,closed,90-91°F,1,17.13322,0.40702,2,1,-16.726200000000002,-16.215318,16.6437285,1,2026-07-10 02:43:47,2026-07-10 03:15:04
2026-07-09,Hong Kong,highest-temperature-in-hong-kong-on-july-9-2026,closed,31°C,1,0.0,27.73224,0,2,-0.02775999999999712,19.260664,8.47157472,1,2026-07-10 01:34:05,2026-07-10 01:42:16
2026-07-09,Houston,highest-temperature-in-houston-on-july-9-2026,closed,92-93°F,3,266.55099,153.47382,4,8,-113.07717000000001,-104.003387,260.26019515999997,2,2026-07-10 02:47:58,2026-07-10 03:06:25
2026-07-09,Madrid,highest-temperature-in-madrid-on-july-9-2026,closed,38°C,2,5.179,0.0,3,0,-5.179,,,0,2026-07-10 00:00:23,2026-07-10 00:00:35
2026-07-09,Miami,highest-temperature-in-miami-on-july-9-2026,closed,90-91°F,3,142.705749,161.4885,12,8,18.78275099999999,29.008255,135.39320447704603,2,2026-07-10 02:40:10,2026-07-10 09:53:13
2026-07-09,Munich,highest-temperature-in-munich-on-july-9-2026,closed,26°C,2,0.0,30.08425,0,2,-0.215749999999999,24.513428,5.580992800000001,2,2026-07-10 00:49:56,2026-07-10 00:50:10
2026-07-09,New York City,highest-temperature-in-nyc-on-july-9-2026,closed,86-87°F,4,320.09678999999994,719.235048,8,9,61.05045199999998,60.139162999999996,670.79393106,4,2026-07-10 00:04:28,2026-07-10 02:18:31
2026-07-10,Beijing,highest-temperature-in-beijing-on-july-10-2026,closed,27°C or below,5,103.22261,0.0,11,0,-103.22261,,,0,2026-07-10 03:23:25,2026-07-10 09:58:28
2026-07-10,Helsinki,highest-temperature-in-helsinki-on-july-10-2026,closed,22°C,2,19.00609,0.0,2,0,-19.00609,,,0,2026-07-11 00:17:53,2026-07-11 00:18:02
2026-07-10,Hong Kong,highest-temperature-in-hong-kong-on-july-10-2026,closed,33°C,1,30.415850000000002,23.936420000000002,17,3,-6.479430000000001,,,0,2026-07-10 02:18:59,2026-07-10 11:44:50
2026-07-10,New York City,highest-temperature-in-nyc-on-july-10-2026,closed,88-89°F,4,101.86020699999996,0.0,66,0,-101.860207,,,0,2026-07-10 11:15:53,2026-07-10 21:40:43
2026-07-10,Paris,highest-temperature-in-paris-on-july-10-2026,closed,35°C,2,12.95527,0.0,5,0,-12.955269999999999,,,0,2026-07-10 23:38:37,2026-07-11 00:29:02
2026-07-10,Seoul,highest-temperature-in-seoul-on-july-10-2026,closed,28°C,4,546.109835,507.63235,13,4,-31.013201000000038,13.922538999999997,554.5284068,3,2026-07-10 02:13:46,2026-07-10 12:59:37
2026-07-10,Shanghai,highest-temperature-in-shanghai-on-july-10-2026,closed,32°C,1,14.32662,0.0,1,0,-14.32662,,,0,2026-07-10 09:54:13,2026-07-10 09:54:13
2026-07-10,Shenzhen,highest-temperature-in-shenzhen-on-july-10-2026,closed,33°C,3,67.76842200000002,5.096449999999999,25,4,-62.671972000000004,-22.602662,27.95281564196,1,2026-07-10 09:18:13,2026-07-10 13:01:28
2026-07-10,Wellington,highest-temperature-in-wellington-on-july-10-2026,closed,10°C,1,29.56396,0.0,1,0,-29.56396,,,0,2026-07-10 04:22:47,2026-07-10 04:22:47
2026-07-13,Amsterdam,highest-temperature-in-amsterdam-on-july-13-2026,closed,25°C,2,52.336648,39.5802,5,1,-12.756447999999999,27.6,12.0,1,2026-07-13 19:36:16,2026-07-14 00:08:08
2026-07-13,Helsinki,highest-temperature-in-helsinki-on-july-13-2026,closed,20°C,2,14.608842,6.607600000000001,4,2,-8.001241999999998,-7.87325,12.81275,1,2026-07-13 14:22:25,2026-07-13 21:16:22
2026-07-13,Hong Kong,highest-temperature-in-hong-kong-on-july-13-2026,closed,33°C,1,16.97537,33.35998,1,3,16.38461,18.27972,16.2649994,1,2026-07-13 13:01:19,2026-07-13 13:26:38
2026-07-13,London,highest-temperature-in-london-on-july-13-2026,closed,26°C,1,40.901756,0.0,5,0,-40.901756,,,0,2026-07-13 19:27:53,2026-07-13 21:03:35
2026-07-13,Madrid,highest-temperature-in-madrid-on-july-13-2026,closed,33°C,1,47.23016499999999,0.0,13,0,-47.23016499999999,,,0,2026-07-13 19:11:13,2026-07-13 22:58:16
